GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core Module,fr.ducloyer.lotrtcg.core.utils,FightResult,67,57,15,7,0,3,13,5,2,5
Core Module,fr.ducloyer.lotrtcg.core.utils,FightResult.Actions,0,24,0,0,0,2,0,1,0,1
Core Module,fr.ducloyer.lotrtcg.core.utils,EndGameException,3,0,0,0,1,0,1,0,1,0
Core Module,fr.ducloyer.lotrtcg.core.utils,FightResolver,3,26,0,4,1,3,1,3,1,1
Core Module,fr.ducloyer.lotrtcg.core.model,CardLoader,8,57,0,0,3,11,1,3,1,3
Core Module,fr.ducloyer.lotrtcg.core.model,Name,0,70,0,0,0,10,0,3,0,3
Core Module,fr.ducloyer.lotrtcg.core.model,Card,129,112,20,16,0,8,18,11,2,9
Core Module,fr.ducloyer.lotrtcg.core.model,Personage,102,35,16,2,2,10,16,6,7,6
Core Module,fr.ducloyer.lotrtcg.core.model,Card.Side,0,24,0,0,0,2,0,1,0,1
Core Module,fr.ducloyer.lotrtcg.core.model,CardLoader.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
